lat	lon	Delta_18_16	Delta_D_H	DX	origin	type	subtype
45.87	5.32	-8.58	-58.20	10.40	lsce	measure	
46.20	5.29	-8.80	-58.50	11.90	lsce	measure	
46.12	5.49	-9.12	-60.80	12.10	lsce	measure	
49.37	3.32	-6.40	-44.30	6.90	lsce	measure	
46.50	3.78	-7.55	-51.30	9.10	lsce	measure	
43.83	5.79	-10.89	-78.40	8.80	lsce	measure	
44.04	5.63	-9.75	-66.70	11.20	lsce	measure	
44.20	5.94	-9.09	-62.30	10.40	lsce	measure	
43.96	5.78	-7.28	-48.90	9.40	lsce	measure	
43.95	6.81	-9.25	-60.40	13.50	lsce	measure	
44.39	6.65	-12.69	-89.40	12.20	lsce	measure	
44.90	6.64	-13.89	-100.10	11.00	lsce	measure	
44.94	6.75	-13.67	-99.20	10.20	lsce	measure	
43.58	7.05	-9.02	-58.00	14.20	lsce	measure	
44.10	7.51	-10.77	-73.70	12.50	lsce	measure	
44.52	4.01	-6.83	-38.90	15.70	lsce	measure	
44.35	4.37	-6.57	-40.70	11.80	lsce	measure	
44.62	4.39	-8.06	-50.8	13.7	lsce	measure	
49.427	4.955	-7.30	-47.17	11.2	lsce	measure	
42.92	1.03	-9.10	-60.40	12.40	lsce	measure	
48.07	4.47	-7.61	-49.70	11.30	lsce	measure	
48.28	4.06	-7.01	-48.50	7.60	lsce	measure	
48.23	4.04	-7.07	-47.10	9.40	lsce	measure	
43.22	2.35	-9.72	-64.80	12.90	lsce	measure	
43.22	3.09	-7.88	-51.80	11.20	lsce	measure	
43.03	2.98	-6.17	-36.40	13.00	lsce	measure	
43.273	5.430	-10.84	-79.7	7.0	lsce	measure	
43.53	5.45	-9.74	-67.20	10.70	lsce	measure	
43.52	5.58	-8.36	-57.70	9.10	lsce	measure	
43.68	4.56	-10.07	-70.60	10.00	lsce	measure	
49.184	-0.360	-6.63	-42.60	10.5	lsce	measure	
49.01	0.15	-6.95	-44.40	11.20	lsce	measure	
49.29	-0.10	-6.74	-42.80	11.10	lsce	measure	
49.047	-0.775	-6.85	-42.1	12.7	lsce	measure	
48.90	-0.20	-6.66	-43.10	10.10	lsce	measure	
49.36	-0.88	-6.44	-39.00	12.50	lsce	measure	
49.17	-0.28	-5.79	-37.90	8.40	lsce	measure	
44.88	2.65	-8.35	-52.40	14.40	lsce	measure	
44.90	2.66	-8.28	-52.70	13.60	lsce	measure	
45.65	0.15	-6.10	-37.80	11.00	lsce	measure	
45.70	-0.33	-5.64	-34.10	11.00	lsce	measure	
45.61	-0.33	-5.49	-33.00	10.90	lsce	measure	
45.88	0.07	-5.60	-35.10	9.70	lsce	measure	
45.483	0.277	-6.09	-37.69	11.0	lsce	measure	
45.74	0.24	-6.09	-37.10	11.60	lsce	measure	
45.75	-0.64	-5.75	-34.10	12.00	lsce	measure	
46.01	-1.18	-4.83	-31.30	7.30	lsce	measure	
45.60	-0.75	-5.76	-33.90	12.20	lsce	measure	
45.94	-0.96	-4.60	-29.70	7.10	lsce	measure	
45.83	-1.11	-5.53	-33.70	10.50	lsce	measure	
45.83	-1.20	-5.67	-33.40	12.00	lsce	measure	
45.99	-1.08	-5.05	-31.20	9.30	lsce	measure	
45.61	-0.60	-5.51	-33.30	10.70	lsce	measure	
46.75	2.42	-6.79	-45.40	8.90	lsce	measure	
45.51	2.32	-7.68	-49.80	11.60	lsce	measure	
45.36	1.57	-6.79	-42.80	11.50	lsce	measure	
41.65	8.87	-6.24	-37.40	12.50	lsce	measure	
41.77	9.08	-7.62	-44.80	16.10	lsce	measure	
41.74	9.34	-6.23	-38.70	11.10	lsce	measure	
42.694	9.447	-8.36	-52.07	14.8	lsce	measure	
42.63	9.35	-7.80	-45.50	17.00	lsce	measure	
42.81	9.43	-7.83	-45.20	17.50	lsce	measure	
42.61	8.90	-8.79	-58.40	11.90	lsce	measure	
42.57	8.76	-8.74	-57.10	12.80	lsce	measure	
47.322	5.036	-7.65	-51.5	9.7	lsce	measure	
